,Name,Type,Total,HP,Attack,Defense,Sp.Atk,Sp.Def,Speed
0,Bulbasaur,Bug,318,45,49,49,65,65,45
1,Ivysaur,Bug,405,60,62,63,80,80,60
2,Venusaur,Bug,525,80,82,83,100,100,80
3,VenusaurMega Venusaur,Bug,625,80,100,123,122,120,80
4,Charmander,Bug,309,39,52,43,60,50,65
5,Charmeleon,Bug,405,58,64,58,80,65,80
6,Charizard,Bug,534,78,84,78,109,85,100
7,CharizardMega Charizard X,Bug,634,78,130,111,130,85,100
8,CharizardMega Charizard Y,Bug,634,78,104,78,159,115,100
9,Squirtle,Bug,314,44,48,65,50,64,43
10,Wartortle,Bug,405,59,63,80,65,80,58
11,Blastoise,Bug,530,79,83,100,85,105,78
12,BlastoiseMega Blastoise,Bug,630,79,103,120,135,115,78
13,Caterpie,Bug,195,45,30,35,20,20,45
14,Metapod,Bug,205,50,20,55,25,25,30
15,Butterfree,Bug,395,60,45,50,90,80,70
16,Weedle,Bug,195,40,35,30,20,20,50
17,Kakuna,Bug,205,45,25,50,25,25,35
18,Beedrill,Bug,395,65,90,40,45,80,75
19,BeedrillMega Beedrill,Bug,495,65,150,40,15,80,145
20,Pidgey,Bug,251,40,45,40,35,35,56
21,Pidgeotto,Bug,349,63,60,55,50,50,71
22,Pidgeot,Bug,479,83,80,75,70,70,101
23,PidgeotMega Pidgeot,Bug,579,83,80,80,135,80,121
24,Rattata,Bug,253,30,56,35,25,35,72
25,Raticate,Bug,413,55,81,60,50,70,97
26,Spearow,Bug,262,40,60,30,31,31,70
27,Fearow,Bug,442,65,90,65,61,61,100
28,Ekans,Bug,288,35,60,44,40,54,55
29,Arbok,Bug,438,60,85,69,65,79,80
30,Pikachu,Bug,320,35,55,40,50,50,90
31,Raichu,Bug,485,60,90,55,90,80,110
32,Sandshrew,Bug,300,50,75,85,20,30,40
33,Sandslash,Bug,450,75,100,110,45,55,65
34,Nidoran♀,Bug,275,55,47,52,40,40,41
35,Nidorina,Bug,365,70,62,67,55,55,56
36,Nidoqueen,Bug,505,90,92,87,75,85,76
37,Nidoran♂,Bug,273,46,57,40,40,40,50
38,Nidorino,Bug,365,61,72,57,55,55,65
39,Nidoking,Bug,505,81,102,77,85,75,85
40,Clefairy,Bug,323,70,45,48,60,65,35
41,Clefable,Bug,483,95,70,73,95,90,60
42,Vulpix,Bug,299,38,41,40,50,65,65
43,Ninetales,Bug,505,73,76,75,81,100,100
44,Jigglypuff,Bug,270,115,45,20,45,25,20
45,Wigglytuff,Bug,435,140,70,45,85,50,45
46,Zubat,Bug,245,40,45,35,30,40,55
47,Golbat,Bug,455,75,80,70,65,75,90
48,Oddish,Bug,320,45,50,55,75,65,30
49,Gloom,Bug,395,60,65,70,85,75,40
50,Vileplume,Bug,490,75,80,85,110,90,50
51,Paras,Bug,285,35,70,55,45,55,25
52,Parasect,Bug,405,60,95,80,60,80,30
53,Venonat,Bug,305,60,55,50,40,55,45
54,Venomoth,Bug,450,70,65,60,90,75,90
55,Diglett,Bug,265,10,55,25,35,45,95
56,Dugtrio,Bug,405,35,80,50,50,70,120
57,Meowth,Bug,290,40,45,35,40,40,90
58,Persian,Bug,440,65,70,60,65,65,115
59,Psyduck,Bug,320,50,52,48,65,50,55
60,Golduck,Bug,500,80,82,78,95,80,85
61,Mankey,Bug,305,40,80,35,35,45,70
62,Primeape,Bug,455,65,105,60,60,70,95
63,Growlithe,Bug,350,55,70,45,70,50,60
64,Arcanine,Bug,555,90,110,80,100,80,95
65,Poliwag,Bug,300,40,50,40,40,40,90
66,Poliwhirl,Bug,385,65,65,65,50,50,90
67,Poliwrath,Bug,510,90,95,95,70,90,70
68,Abra,Bug,310,25,20,15,105,55,90
