Name,Type,Total,HP,Attack,Defense,Sp.Atk,Sp.Def,Speed
Kadabra,Dark,400,40,35,30,120,70,105
Alakazam,Dark,500,55,50,45,135,95,120
AlakazamMega Alakazam,Dark,590,55,50,65,175,95,150
Machop,Dark,305,70,80,50,35,35,35
Machoke,Dark,405,80,100,70,50,60,45
Machamp,Dark,505,90,130,80,65,85,55
Bellsprout,Dark,300,50,75,35,70,30,40
Weepinbell,Dark,390,65,90,50,85,45,55
Victreebel,Dark,490,80,105,65,100,70,70
Tentacool,Dark,335,40,40,35,50,100,70
Tentacruel,Dark,515,80,70,65,80,120,100
Geodude,Dark,300,40,80,100,30,30,20
Graveler,Dark,390,55,95,115,45,45,35
Golem,Dark,495,80,120,130,55,65,45
Ponyta,Dark,410,50,85,55,65,65,90
Rapidash,Dark,500,65,100,70,80,80,105
Slowpoke,Dark,315,90,65,65,40,40,15
Slowbro,Dark,490,95,75,110,100,80,30
SlowbroMega Slowbro,Dark,590,95,75,180,130,80,30
Magnemite,Dark,325,25,35,70,95,55,45
Magneton,Dark,465,50,60,95,120,70,70
Farfetch'd,Dark,352,52,65,55,58,62,60
Doduo,Dark,310,35,85,45,35,35,75
Dodrio,Dark,460,60,110,70,60,60,100
Seel,Dark,325,65,45,55,45,70,45
Dewgong,Dark,475,90,70,80,70,95,70
Grimer,Dark,325,80,80,50,40,50,25
Muk,Dark,500,105,105,75,65,100,50
Shellder,Dark,305,30,65,100,45,25,40
Cloyster,Dark,525,50,95,180,85,45,70
Gastly,Dark,310,30,35,30,100,35,80
