Name,Type,Total,HP,Attack,Defense,Sp.Atk,Sp.Def,Speed
Furret,Fairy,415,85,76,64,45,55,90
Hoothoot,Fairy,262,60,30,30,36,56,50
Noctowl,Fairy,442,100,50,50,76,96,70
Ledyba,Fairy,265,40,20,30,40,80,55
Ledian,Fairy,390,55,35,50,55,110,85
Spinarak,Fairy,250,40,60,40,40,40,30
Ariados,Fairy,390,70,90,70,60,60,40
Crobat,Fairy,535,85,90,80,70,80,130
Chinchou,Fairy,330,75,38,38,56,56,67
Lanturn,Fairy,460,125,58,58,76,76,67
Pichu,Fairy,205,20,40,15,35,35,60
Cleffa,Fairy,218,50,25,28,45,55,15
Igglybuff,Fairy,210,90,30,15,40,20,15
Togepi,Fairy,245,35,20,65,40,65,20
Togetic,Fairy,405,55,40,85,80,105,40
Natu,Fairy,320,40,50,45,70,45,70
Xatu,Fairy,470,65,75,70,95,70,95
