Name,Type,Total,HP,Attack,Defense,Sp.Atk,Sp.Def,Speed
Mareep,Fighting,280,55,40,40,65,45,35
Flaaffy,Fighting,365,70,55,55,80,60,45
Ampharos,Fighting,510,90,75,85,115,90,55
AmpharosMega Ampharos,Fighting,610,90,95,105,165,110,45
Bellossom,Fighting,490,75,80,95,90,100,50
Marill,Fighting,250,70,20,50,20,50,40
Azumarill,Fighting,420,100,50,80,60,80,50
Sudowoodo,Fighting,410,70,100,115,30,65,30
Politoed,Fighting,500,90,75,75,90,100,70
Hoppip,Fighting,250,35,35,40,35,55,50
Skiploom,Fighting,340,55,45,50,45,65,80
Jumpluff,Fighting,460,75,55,70,55,95,110
Aipom,Fighting,360,55,70,55,40,55,85
Sunkern,Fighting,180,30,30,30,30,30,30
Sunflora,Fighting,425,75,75,55,105,85,30
Yanma,Fighting,390,65,65,45,75,45,95
Wooper,Fighting,210,55,45,45,25,25,15
Quagsire,Fighting,430,95,85,85,65,65,35
Espeon,Fighting,525,65,65,60,130,95,110
Umbreon,Fighting,525,95,65,110,60,130,65
Murkrow,Fighting,405,60,85,42,85,42,91
Slowking,Fighting,490,95,75,80,100,110,30
Misdreavus,Fighting,435,60,60,60,85,85,85
Unown,Fighting,336,48,72,48,72,48,48
Wobbuffet,Fighting,405,190,33,58,33,58,33
Girafarig,Fighting,455,70,80,65,90,65,85
Pineco,Fighting,290,50,65,90,35,35,15
