#,Name,Type,Total,HP,Attack,Defense,Sp.Atk,Sp.Def,Speed
346,Cradily,Ground,495,86,81,97,81,107,43
347,Anorith,Ground,355,45,95,50,40,50,75
348,Armaldo,Ground,495,75,125,100,70,80,45
349,Feebas,Ground,200,20,15,20,10,55,80
350,Milotic,Ground,540,95,60,79,100,125,81
351,Castform,Ground,420,70,70,70,70,70,70
352,Kecleon,Ground,440,60,90,70,60,120,40
353,Shuppet,Ground,295,44,75,35,63,33,45
354,Banette,Ground,455,64,115,65,83,63,65
354,BanetteMega Banette,Ground,555,64,165,75,93,83,75
355,Duskull,Ground,295,20,40,90,30,90,25
356,Dusclops,Ground,455,40,70,130,60,130,25
357,Tropius,Ground,460,99,68,83,72,87,51
358,Chimecho,Ground,425,65,50,70,95,80,65
359,Absol,Ground,465,65,130,60,75,60,75
359,AbsolMega Absol,Ground,565,65,150,60,115,60,115
360,Wynaut,Ground,260,95,23,48,23,48,23
361,Snorunt,Ground,300,50,50,50,50,50,50
362,Glalie,Ground,480,80,80,80,80,80,80
362,GlalieMega Glalie,Ground,580,80,120,80,120,80,100
363,Spheal,Ground,290,70,40,50,55,50,25
364,Sealeo,Ground,410,90,60,70,75,70,45
365,Walrein,Ground,530,110,80,90,95,90,65
366,Clamperl,Ground,345,35,64,85,74,55,32
367,Huntail,Ground,485,55,104,105,94,75,52
368,Gorebyss,Ground,485,55,84,105,114,75,52
369,Relicanth,Ground,485,100,90,130,45,65,55
370,Luvdisc,Ground,330,43,30,55,40,65,97
371,Bagon,Ground,300,45,75,60,40,30,50
372,Shelgon,Ground,420,65,95,100,60,50,50
373,Salamence,Ground,600,95,135,80,110,80,100
373,SalamenceMega Salamence,Ground,700,95,145,130,120,90,120
