Name,Type,Total,HP,Attack,Defense,Sp.Atk,Sp.Def,Speed
Bulbasaur,Bug,318,45,49,49,65,65,45
Ivysaur,Bug,405,60,62,63,80,80,60
Venusaur,Bug,525,80,82,83,100,100,80
VenusaurMega Venusaur,Bug,625,80,100,123,122,120,80
Charmander,Bug,309,39,52,43,60,50,65
Charmeleon,Bug,405,58,64,58,80,65,80
Charizard,Bug,534,78,84,78,109,85,100
CharizardMega Charizard X,Bug,634,78,130,111,130,85,100
CharizardMega Charizard Y,Bug,634,78,104,78,159,115,100
Squirtle,Bug,314,44,48,65,50,64,43
Wartortle,Bug,405,59,63,80,65,80,58
Blastoise,Bug,530,79,83,100,85,105,78
BlastoiseMega Blastoise,Bug,630,79,103,120,135,115,78
Caterpie,Bug,195,45,30,35,20,20,45
Metapod,Bug,205,50,20,55,25,25,30
Butterfree,Bug,395,60,45,50,90,80,70
Weedle,Bug,195,40,35,30,20,20,50
Kakuna,Bug,205,45,25,50,25,25,35
Beedrill,Bug,395,65,90,40,45,80,75
BeedrillMega Beedrill,Bug,495,65,150,40,15,80,145
Pidgey,Bug,251,40,45,40,35,35,56
Pidgeotto,Bug,349,63,60,55,50,50,71
Pidgeot,Bug,479,83,80,75,70,70,101
PidgeotMega Pidgeot,Bug,579,83,80,80,135,80,121
Rattata,Bug,253,30,56,35,25,35,72
Raticate,Bug,413,55,81,60,50,70,97
Spearow,Bug,262,40,60,30,31,31,70
Fearow,Bug,442,65,90,65,61,61,100
Ekans,Bug,288,35,60,44,40,54,55
Arbok,Bug,438,60,85,69,65,79,80
Pikachu,Bug,320,35,55,40,50,50,90
Raichu,Bug,485,60,90,55,90,80,110
Sandshrew,Bug,300,50,75,85,20,30,40
Sandslash,Bug,450,75,100,110,45,55,65
Nidoran♀,Bug,275,55,47,52,40,40,41
Nidorina,Bug,365,70,62,67,55,55,56
Nidoqueen,Bug,505,90,92,87,75,85,76
Nidoran♂,Bug,273,46,57,40,40,40,50
Nidorino,Bug,365,61,72,57,55,55,65
Nidoking,Bug,505,81,102,77,85,75,85
Clefairy,Bug,323,70,45,48,60,65,35
Clefable,Bug,483,95,70,73,95,90,60
Vulpix,Bug,299,38,41,40,50,65,65
Ninetales,Bug,505,73,76,75,81,100,100
Jigglypuff,Bug,270,115,45,20,45,25,20
Wigglytuff,Bug,435,140,70,45,85,50,45
Zubat,Bug,245,40,45,35,30,40,55
Golbat,Bug,455,75,80,70,65,75,90
