#,Name,Type,Total,HP,Attack,Defense,Sp.Atk,Sp.Def,Speed
501,Oshawott,Psychic,308,55,55,45,63,45,45
502,Dewott,Psychic,413,75,75,60,83,60,60
503,Samurott,Psychic,528,95,100,85,108,70,70
504,Patrat,Psychic,255,45,55,39,35,39,42
505,Watchog,Psychic,420,60,85,69,60,69,77
506,Lillipup,Psychic,275,45,60,45,25,45,55
507,Herdier,Psychic,370,65,80,65,35,65,60
508,Stoutland,Psychic,500,85,110,90,45,90,80
509,Purrloin,Psychic,281,41,50,37,50,37,66
510,Liepard,Psychic,446,64,88,50,88,50,106
511,Pansage,Psychic,316,50,53,48,53,48,64
512,Simisage,Psychic,498,75,98,63,98,63,101
513,Pansear,Psychic,316,50,53,48,53,48,64
514,Simisear,Psychic,498,75,98,63,98,63,101
515,Panpour,Psychic,316,50,53,48,53,48,64
516,Simipour,Psychic,498,75,98,63,98,63,101
517,Munna,Psychic,292,76,25,45,67,55,24
518,Musharna,Psychic,487,116,55,85,107,95,29
519,Pidove,Psychic,264,50,55,50,36,30,43
520,Tranquill,Psychic,358,62,77,62,50,42,65
521,Unfezant,Psychic,488,80,115,80,65,55,93
522,Blitzle,Psychic,295,45,60,32,50,32,76
523,Zebstrika,Psychic,497,75,100,63,80,63,116
524,Roggenrola,Psychic,280,55,75,85,25,25,15
525,Boldore,Psychic,390,70,105,105,50,40,20
526,Gigalith,Psychic,515,85,135,130,60,80,25
527,Woobat,Psychic,313,55,45,43,55,43,72
528,Swoobat,Psychic,425,67,57,55,77,55,114
529,Drilbur,Psychic,328,60,85,40,30,45,68
530,Excadrill,Psychic,508,110,135,60,50,65,88
531,Audino,Psychic,445,103,60,86,60,86,50
531,AudinoMega Audino,Psychic,545,103,60,126,80,126,50
532,Timburr,Psychic,305,75,80,55,25,35,35
533,Gurdurr,Psychic,405,85,105,85,40,50,40
534,Conkeldurr,Psychic,505,105,140,95,55,65,45
535,Tympole,Psychic,294,50,50,40,50,40,64
536,Palpitoad,Psychic,384,75,65,55,65,55,69
537,Seismitoad,Psychic,509,105,95,75,85,75,74
538,Throh,Psychic,465,120,100,85,30,85,45
539,Sawk,Psychic,465,75,125,75,30,75,85
540,Sewaddle,Psychic,310,45,53,70,40,60,42
541,Swadloon,Psychic,380,55,63,90,50,80,42
542,Leavanny,Psychic,500,75,103,80,70,80,92
543,Venipede,Psychic,260,30,45,59,30,39,57
544,Whirlipede,Psychic,360,40,55,99,40,79,47
545,Scolipede,Psychic,485,60,100,89,55,69,112
546,Cottonee,Psychic,280,40,27,60,37,50,66
547,Whimsicott,Psychic,480,60,67,85,77,75,116
548,Petilil,Psychic,280,45,35,50,70,50,30
549,Lilligant,Psychic,480,70,60,75,110,75,90
550,Basculin,Psychic,460,70,92,65,80,55,98
551,Sandile,Psychic,292,50,72,35,35,35,65
552,Krokorok,Psychic,351,60,82,45,45,45,74
553,Krookodile,Psychic,519,95,117,80,65,70,92
554,Darumaka,Psychic,315,70,90,45,15,45,50
555,DarmanitanStandard Mode,Psychic,480,105,140,55,30,55,95
555,DarmanitanZen Mode,Psychic,540,105,30,105,140,105,55
