#,Name,Type,Total,HP,Attack,Defense,Sp.Atk,Sp.Def,Speed
556,Maractus,Rock,461,75,86,67,106,67,60
557,Dwebble,Rock,325,50,65,85,35,35,55
558,Crustle,Rock,475,70,95,125,65,75,45
559,Scraggy,Rock,348,50,75,70,35,70,48
560,Scrafty,Rock,488,65,90,115,45,115,58
561,Sigilyph,Rock,490,72,58,80,103,80,97
562,Yamask,Rock,303,38,30,85,55,65,30
563,Cofagrigus,Rock,483,58,50,145,95,105,30
564,Tirtouga,Rock,355,54,78,103,53,45,22
565,Carracosta,Rock,495,74,108,133,83,65,32
566,Archen,Rock,401,55,112,45,74,45,70
567,Archeops,Rock,567,75,140,65,112,65,110
568,Trubbish,Rock,329,50,50,62,40,62,65
569,Garbodor,Rock,474,80,95,82,60,82,75
570,Zorua,Rock,330,40,65,40,80,40,65
571,Zoroark,Rock,510,60,105,60,120,60,105
572,Minccino,Rock,300,55,50,40,40,40,75
573,Cinccino,Rock,470,75,95,60,65,60,115
574,Gothita,Rock,290,45,30,50,55,65,45
575,Gothorita,Rock,390,60,45,70,75,85,55
576,Gothitelle,Rock,490,70,55,95,95,110,65
577,Solosis,Rock,290,45,30,40,105,50,20
578,Duosion,Rock,370,65,40,50,125,60,30
579,Reuniclus,Rock,490,110,65,75,125,85,30
580,Ducklett,Rock,305,62,44,50,44,50,55
581,Swanna,Rock,473,75,87,63,87,63,98
582,Vanillite,Rock,305,36,50,50,65,60,44
583,Vanillish,Rock,395,51,65,65,80,75,59
584,Vanilluxe,Rock,535,71,95,85,110,95,79
585,Deerling,Rock,335,60,60,50,40,50,75
586,Sawsbuck,Rock,475,80,100,70,60,70,95
587,Emolga,Rock,428,55,75,60,75,60,103
588,Karrablast,Rock,315,50,75,45,40,45,60
589,Escavalier,Rock,495,70,135,105,60,105,20
590,Foongus,Rock,294,69,55,45,55,55,15
591,Amoonguss,Rock,464,114,85,70,85,80,30
592,Frillish,Rock,335,55,40,50,65,85,40
593,Jellicent,Rock,480,100,60,70,85,105,60
594,Alomomola,Rock,470,165,75,80,40,45,65
595,Joltik,Rock,319,50,47,50,57,50,65
596,Galvantula,Rock,472,70,77,60,97,60,108
597,Ferroseed,Rock,305,44,50,91,24,86,10
598,Ferrothorn,Rock,489,74,94,131,54,116,20
599,Klink,Rock,300,40,55,70,45,60,30
