#,Name,Type,Total,HP,Attack,Defense,Sp.Atk,Sp.Def,Speed
627,Rufflet,Water,350,70,83,50,37,50,60
628,Braviary,Water,510,100,123,75,57,75,80
629,Vullaby,Water,370,70,55,75,45,65,60
630,Mandibuzz,Water,510,110,65,105,55,95,80
631,Heatmor,Water,484,85,97,66,105,66,65
632,Durant,Water,484,58,109,112,48,48,109
633,Deino,Water,300,52,65,50,45,50,38
634,Zweilous,Water,420,72,85,70,65,70,58
635,Hydreigon,Water,600,92,105,90,125,90,98
636,Larvesta,Water,360,55,85,55,50,55,60
637,Volcarona,Water,550,85,60,65,135,105,100
638,Cobalion,Water,580,91,90,129,90,72,108
639,Terrakion,Water,580,91,129,90,72,90,108
640,Virizion,Water,580,91,90,72,90,129,108
641,TornadusIncarnate Forme,Water,580,79,115,70,125,80,111
641,TornadusTherian Forme,Water,580,79,100,80,110,90,121
642,ThundurusIncarnate Forme,Water,580,79,115,70,125,80,111
642,ThundurusTherian Forme,Water,580,79,105,70,145,80,101
643,Reshiram,Water,680,100,120,100,150,120,90
644,Zekrom,Water,680,100,150,120,120,100,90
645,LandorusIncarnate Forme,Water,600,89,125,90,115,80,101
645,LandorusTherian Forme,Water,600,89,145,90,105,80,91
646,Kyurem,Water,660,125,130,90,130,90,95
646,KyuremBlack Kyurem,Water,700,125,170,100,120,90,95
646,KyuremWhite Kyurem,Water,700,125,120,90,170,100,95
647,KeldeoOrdinary Forme,Water,580,91,72,90,129,90,108
647,KeldeoResolute Forme,Water,580,91,72,90,129,90,108
648,MeloettaAria Forme,Water,600,100,77,77,128,128,90
648,MeloettaPirouette Forme,Water,600,100,128,90,77,77,128
649,Genesect,Water,600,71,120,95,120,95,99
650,Chespin,Water,313,56,61,65,48,45,38
651,Quilladin,Water,405,61,78,95,56,58,57
652,Chesnaught,Water,530,88,107,122,74,75,64
653,Fennekin,Water,307,40,45,40,62,60,60
654,Braixen,Water,409,59,59,58,90,70,73
655,Delphox,Water,534,75,69,72,114,100,104
656,Froakie,Water,314,41,56,40,62,44,71
657,Frogadier,Water,405,54,63,52,83,56,97
658,Greninja,Water,530,72,95,67,103,71,122
659,Bunnelby,Water,237,38,36,38,32,36,57
660,Diggersby,Water,423,85,56,77,50,77,78
661,Fletchling,Water,278,45,50,43,40,38,62
662,Fletchinder,Water,382,62,73,55,56,52,84
663,Talonflame,Water,499,78,81,71,74,69,126
664,Scatterbug,Water,200,38,35,40,27,25,35
665,Spewpa,Water,213,45,22,60,27,30,29
666,Vivillon,Water,411,80,52,50,90,50,89
667,Litleo,Water,369,62,50,58,73,54,72
668,Pyroar,Water,507,86,68,72,109,66,106
669,Flabébé,Water,303,44,38,39,61,79,42
670,Floette,Water,371,54,45,47,75,98,52
671,Florges,Water,552,78,65,68,112,154,75
672,Skiddo,Water,350,66,65,48,62,57,52
673,Gogoat,Water,531,123,100,62,97,81,68
674,Pancham,Water,348,67,82,62,46,48,43
675,Pangoro,Water,495,95,124,78,69,71,58
676,Furfrou,Water,472,75,80,60,65,90,102
677,Espurr,Water,355,62,48,54,63,60,68
678,MeowsticMale,Water,466,74,48,76,83,81,104
678,MeowsticFemale,Water,466,74,48,76,83,81,104
679,Honedge,Water,325,45,80,100,35,37,28
680,Doublade,Water,448,59,110,150,45,49,35
681,AegislashBlade Forme,Water,520,60,150,50,150,50,60
681,AegislashShield Forme,Water,520,60,50,150,50,150,60
682,Spritzee,Water,341,78,52,60,63,65,23
683,Aromatisse,Water,462,101,72,72,99,89,29
684,Swirlix,Water,341,62,48,66,59,57,49
685,Slurpuff,Water,480,82,80,86,85,75,72
686,Inkay,Water,288,53,54,53,37,46,45
